职位,公司,地址,薪酬,标签
Java中级开发工程师,深圳市德科信息技术有限公司,深圳-福田区,1-1.5万/月,"['3-4年经验', '大专', '招5人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '年终奖金', '弹性工作', '加班补贴']"
Java工程师（五险一金+双休）,武汉钧策管理咨询有限公司,武汉-洪山区,0.8-1.5万/月,"['2年经验', '本科', '招1人', '07-16发布', '五险一金', '补充公积金', '员工旅游', '餐饮补贴', '通讯补贴', '专业培训', '出国机会', '绩效奖金', '年终奖金', '弹性工作']"
JAVA实施工程师,合肥科讯金服科技有限公司,江苏省,0.5-1万/月,"['1年经验', '本科', '招2人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '股票期权', '定期体检']"
Java高级开发工程师,青岛民航凯亚系统集成有限公司,青岛-城阳区,15-30万/年,"['5-7年经验', '招若干人', '07-16发布', '五险一金', '补充医疗保险', '年终奖金', '定期体检']"
Java架构师,广州向日葵信息科技有限公司,广州-天河区,1.8-2.5万/月,"['5-7年经验', '本科', '招1人', '07-16发布', '周末双休', '弹性工作', '带薪年假', '五险一金', '节日福利']"
Java高级开发工程师/软件开发工程师,街柜科技（深圳）有限公司,深圳-宝安区,1.5-2万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '弹性工作', '五险一金', '带薪年假', '交通补贴', '绩效奖金']"
Java系统架构师,500.com集团,深圳-南山区,1.5-3万/月,"['5-7年经验', '本科', '招1人', '07-16发布', '五险一金', '免费班车', '上市公司']"
Java高级开发工程师,四川水木科技有限公司,成都-高新区,1.3-2万/月,"['5-7年经验', '大专', '招3人', '07-16发布', '包吃', '绩效奖金', '社保', '五险一金', '分红+期权']"
Java游戏开发工程师,武汉壹帆互娱网络科技有限公司,武汉,0.5-1万/月,"['2年经验', '大专', '招2人', '07-16发布', '补充医疗保险', '交通补贴', '员工旅游', '餐饮补贴', '绩效奖金', '年终奖金']"
JAVA高级工程师—技术研发部,北京和融通支付科技有限公司,北京-海淀区,1-1.5万/月,"['3-4年经验', '本科', '招5人', '07-16发布', '五险一金', '绩效奖金', '补充医疗保险', '定期体检']"
