职位,公司,地址,薪酬,标签
Java高级开发工程师(卖家平台研发),广州江楠鲜品科技有限公司,广州-天河区,1.5-2.5万/月,"['3-4年经验', '本科', '招2人', '07-14发布', '五险一金', '绩效奖金', '弹性工作', '年终奖金', '餐饮补贴']"
JAVA开发工程师,广州众攀网络科技有限公司,广州,0.6-1万/月,"['无工作经验', '招3人', '07-14发布', '员工旅游', '股票期权', '弹性工作', '五险', '周末双休', '年终奖金', '定期体检', '带薪年假', '带薪病假', '下午茶']"
游戏JAVA服务端,广州雷麒网络科技有限公司,广州-天河区,0.5-1万/月,"['1年经验', '大专', '招若干人', '07-14发布', '五险一金', '绩效奖金', '弹性工作', '不加班', '节日礼物', '年终奖金', '股票期权', '定期体检', '专业培训']"
零基础JAVA开发+高新上岗,合肥贤丰资产管理有限公司,合肥-蜀山区,0.8-1万/月,"['无工作经验', '中专', '招8人', '07-14发布', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '专业培训', '出国机会', '绩效奖金', '年终奖金', '弹性工作', '定期体检']"
Java高级开发工程师,北京百里半网络技术有限公司,北京-朝阳区,1.2-2.4万/月,"['5-7年经验', '本科', '招10人', '07-14发布']"
Java开发工程师,广东东升信息技术有限公司,汕头,4-8千/月,"['2年经验', '大专', '招若干人', '07-14发布']"
Java开发讲师/助教,武汉尚观信息科技有限公司,武汉-洪山区,0.8-1.2万/月,"['无工作经验', '大专', '招2人', '07-14发布', '五险一金', '专业培训', '绩效奖金', '年终奖金', '弹性工作']"
Java开发工程师,武汉怡图信息技术有限公司,武汉-东湖新技...,0.5-1.2万/月,"['无工作经验', '招5人', '07-14发布']"
Java后端开发,福州人资通信息技术有限公司,福州-鼓楼区,1-1.5万/月,"['3-4年经验', '大专', '招1人', '07-14发布', '绩效奖金', '项目提成', '五险一金', '员工旅游', '餐饮补贴', '年终奖金']"
JAVA工程师(J10557),北京河狸家信息技术有限公司,北京-朝阳区,2.5-3万/月,"['5-7年经验', '本科', '招10人', '07-14发布']"
Java开发工程师,广州日昱物流有限公司,广州-白云区,0.7-1.5万/月,"['2年经验', '招1人', '07-14发布', '五险一金', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '员工旅游', '补充医疗保险']"
包住+ Java实习工程师储备,江西卓冠科技有限公司,南昌-红谷滩新区,3-4.5千/月,"['无工作经验', '大专', '招3人', '07-14发布', '做五休二', '弹性工作', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '专业培训', '通讯补贴', '年终奖金']"
急聘4K双休+java开发助理,杭州斯荙克信息技术有限公司,杭州-西湖区,4-6千/月,"['1年经验', '大专', '招3人', '07-14发布', '五险一金', '定期体检', '年终奖金', '绩效奖金', '补充医疗保险']"
Java开发工程师,深圳影儿时尚集团有限公司,深圳-龙华新区,0.8-1.5万/月,"['无工作经验', '本科', '招1人', '07-14发布', '五险一金', '免费班车', '绩效奖金', '年终奖金', '专业培训', '通讯补贴']"
Java开发工程师,比迪奥贸易（深圳）有限公司,深圳,0.8-1.5万/月,"['2年经验', '大专', '招1人', '07-14发布']"
Java中高级软件工程师,福州民本科技有限公司,福州-台江区,0.8-1.5万/月,"['3-4年经验', '大专', '招3人', '07-14发布', '五险一金', '节日福利', '交通补贴', '通讯补贴', '补充医疗保险', '年终奖金']"
Java高级开发工程师,广东车管嘉电子商务有限公司,佛山-禅城区,1-1.5万/月,"['3-4年经验', '本科', '招1人', '07-14发布', '绩效奖金', '专业培训', '全勤奖', '节日福利', '弹性工作', '高温补贴', '五险一金', '股票期权']"
Java开发工程师,苏州白金汉爵大酒店有限公司,苏州-相城区,0.8-1.6万/月,"['无工作经验', '本科', '招3人', '07-14发布', '餐饮补贴']"
Java（资深）开发工程师,铠嘉电脑配件有限公司,嘉兴,0.5-1万/月,"['无工作经验', '招2人', '07-14发布', '五险一金', '年终奖金', '绩效奖金', '专业培训']"
高级JAVA工程师,深圳爱影科技有限公司,深圳-南山区,1-1.5万/月,"['3-4年经验', '本科', '招1人', '07-14发布', '五险一金', '弹性工作', '绩效奖金', '年终奖金', '股票期权']"
Java开发工程师,北京悦畅科技有限公司,北京-朝阳区,1.5-2万/月,"['无工作经验', '招2人', '07-14发布', '做五休二', '周末双休', '带薪年假', '绩效奖金', '专业培训', '五险一金', '节日福利']"
Java开发工程师,北京信成未来科技有限公司,北京-丰台区,6-8千/月,"['无工作经验', '本科', '招若干人', '07-14发布', '五险一金', '餐饮补贴', '绩效奖金', '股票期权', '弹性工作']"
初级Java开发工程师+奖金绩效,西安大来电子科技有限公司,西安-未央区,3-5千/月,"['无工作经验', '大专', '招5人', '07-14发布']"
Java转C语言开发（须懂日语）,咏创（杭州）科技有限公司,杭州-滨江区,3-8千/月,"['无工作经验', '大专', '招5人', '07-14发布']"
Java高级开发工程师,苏州诺赛网络科技有限公司,苏州-高新区,1-1.6万/月,"['3-4年经验', '大专', '招1人', '07-14发布', '周末双休', '带薪年假', '绩效奖金', '专业培训']"
Java开发工程师,成都鸿智金融科技有限公司,成都-锦江区,0.6-1.2万/月,"['3-4年经验', '大专', '招1人', '07-14发布', '通讯补贴', '弹性工作', '绩效奖金', '年终奖金', '餐饮补贴', '专业培训', '员工旅游', '五险一金']"
Java开发经理,济南卡巢网络科技有限公司,济南-高新区,1-1.5万/月,"['5-7年经验', '本科', '招1人', '07-14发布', '五险一金', '年终奖金', '股票期权', '弹性工作']"
Java开发工程师,杭州奕安济世生物药业有限公司,杭州-江干区,1-1.5万/月,"['3-4年经验', '招2人', '07-14发布', '五险一金', '弹性工作', '免费班车', '绩效奖金', '年终奖金', '专业培训', '团建活动', '节日福利', '做五休二', '带薪年假']"
Java开发经理,江苏微图信息科技有限公司,南京-建邺区,15-20万/年,"['5-7年经验', '本科', '招若干人', '07-14发布', '五险一金', '补充医疗保险', '免费班车', '员工旅游', '专业培训', '定期体检', '交通补贴']"
急聘4K双休+java开发助理,湖北众康空间体育产业孵化器有限公司,武汉-武昌区,4-6千/月,"['无工作经验', '大专', '招4人', '07-14发布']"
Java高级开发工程师,上海诺姆四达投资集团有限公司无锡...,武汉,1-2万/月,"['5-7年经验', '本科', '招2人', '07-14发布', '五险一金', '餐饮补贴', '通讯补贴', '专业培训', '绩效奖金', '年终奖金']"
Java软件工程师（上海）（金融业）,上海佳克计算机软件股份有限公司,上海-浦东新区,0.8-1.2万/月,"['2年经验', '本科', '招2人', '07-14发布']"
Java开发工程师,河南信安通信技术股份有限公司,郑州,4-6千/月,"['2年经验', '本科', '招1人', '07-14发布', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']"
JAVA软件工程师（急招）,北京创思恒通科技有限公司,北京,0.6-1.5万/月,"['1年经验', '本科', '招4人', '07-14发布', '五险一金', '餐饮补贴', '专业培训', '绩效奖金', '年终奖金', '半年加薪']"
java工程师（互联网政务）,广州华资软件技术有限公司,广州,0.8-1.5万/月,"['1年经验', '招5人', '07-14发布', '五险一金', '补充医疗保险', '员工旅游', '年终奖金', '绩效奖金', '专业培训', '定期体检', '节日礼金', '14薪+']"
Java高级开发工程师,嘀嘀智慧城市运营管理（天津）有限...,天津-河西区,1-1.5万/月,"['3-4年经验', '本科', '招2人', '07-14发布', '五险一金', '交通补贴', '年终奖金']"
Java开发工程师（3年以上经验）,上海金指软件技术有限公司,上海-浦东新区,1.2-1.8万/月,"['3-4年经验', '本科', '招10人', '07-14发布', '五险一金', '餐饮补贴', '交通补贴', '员工旅游', '免费班车', '专业培训', '通讯补贴', '定期体检', '年终奖金', '绩效奖金']"
Java工程师实训生,青岛迈科思软件有限责任公司,异地招聘,3-4.5千/月,"['无工作经验', '大专', '招5人', '07-14发布', '带薪年假', '五险一金', '专业培训', '通讯补贴', '餐饮补贴', '全勤奖', '绩效奖金']"
Java高级开发工程师,河南省中教网盟科技有限公司,郑州-高新区,0.8-1万/月,"['5-7年经验', '大专', '招2人', '07-14发布', '带薪年假', '五险一金', '全勤奖', '节日福利', '餐饮补贴', '住房补贴', '员工旅游', '每年多次调薪']"
